"item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","country","source"
5,5,5,4,5,5,5,5,5,5,1,5,4,5,2,5,2,5,5,2,5,5,5,5,5,5,5,"US",1
5,5,4,4,5,5,5,5,5,5,2,2,5,5,3,4,1,4,5,2,5,1,4,4,3,2,5,"US",3
5,4,4,4,2,4,5,3,2,1,2,1,2,2,4,2,2,4,2,4,2,2,2,2,4,2,2,"AR",1
3,3,3,0,4,4,4,1,4,1,5,2,2,4,4,1,4,1,2,2,3,1,3,2,4,1,1,"GB",1
4,2,3,3,2,2,2,2,4,2,5,2,2,2,4,2,3,3,3,4,2,2,2,2,2,1,1,"US",2
4,1,3,1,2,2,4,3,4,4,4,4,4,3,5,1,4,4,2,5,3,1,4,3,4,3,1,"IN",3
4,4,4,4,5,5,5,4,5,3,3,3,2,4,3,4,4,4,3,3,5,4,4,4,5,3,4,"US",3
4,4,3,2,4,4,4,2,4,2,4,2,2,2,4,2,4,2,3,4,2,4,4,4,4,4,4,"GB",1
4,1,3,2,1,1,5,1,4,1,5,1,1,4,5,4,4,4,1,4,2,1,4,1,3,1,3,"DE",2
5,5,4,5,4,3,5,3,5,5,2,2,3,4,4,4,3,4,5,2,4,1,4,4,4,3,4,"US",1
5,5,4,3,5,5,5,5,5,3,5,1,3,4,4,4,1,3,5,4,1,1,5,5,2,2,5,"DE",1
4,4,5,5,5,4,5,3,5,4,3,3,5,5,2,5,1,5,4,4,2,2,3,3,5,4,5,"AT",3
5,5,4,4,5,4,5,2,5,5,2,4,5,5,1,5,1,2,5,2,2,1,5,5,1,1,2,"US",3
4,3,4,4,3,4,5,5,4,2,4,3,3,4,5,3,1,4,3,4,2,3,4,3,5,4,3,"PL",3
5,1,4,5,5,5,5,1,5,5,1,5,1,5,1,5,1,1,1,1,1,5,5,5,1,3,1,"US",3
5,5,5,4,5,5,5,4,5,5,3,3,2,5,4,2,2,4,4,1,4,2,5,5,5,3,4,"GB",1
2,1,2,2,1,1,3,2,2,3,5,2,1,3,4,1,5,2,2,5,1,1,2,1,4,3,1,"US",3
2,1,2,2,2,1,3,2,2,2,4,2,1,2,4,1,5,2,2,5,1,1,2,1,2,1,1,"US",3
4,4,5,4,5,5,5,4,4,3,2,3,3,5,3,4,1,4,4,1,3,4,5,4,1,5,4,"AU",3
3,3,4,4,5,5,5,3,4,4,2,5,3,4,3,3,3,4,4,4,3,2,4,4,3,4,3,"US",1
4,3,2,3,3,4,4,2,4,2,5,2,2,4,5,2,3,2,1,4,1,1,4,2,5,1,2,"GB",1
5,1,3,4,3,3,4,1,4,4,3,1,1,3,3,1,4,1,2,3,1,2,3,2,2,3,1,"US",1
5,5,5,4,5,5,5,3,5,4,1,4,5,5,1,4,1,5,5,5,3,1,1,4,5,5,3,"US",3
5,2,4,5,4,4,4,3,4,2,5,1,2,4,4,2,3,4,3,5,3,2,3,2,5,1,1,"CA",1
5,5,5,1,5,5,5,5,5,5,1,5,5,5,3,5,1,5,5,3,5,3,5,5,5,3,5,"US",3
5,1,4,2,2,4,5,5,5,3,3,2,4,2,2,5,2,4,3,2,4,1,5,3,4,5,3,"GB",2
4,3,2,4,3,2,4,2,4,3,4,2,2,3,3,2,2,3,2,2,1,1,2,2,5,1,1,"CA",1
5,3,4,4,3,4,5,1,2,3,5,1,4,4,5,4,2,5,4,3,2,4,4,2,4,1,2,"CA",2
5,5,4,5,4,4,5,5,4,5,2,3,3,4,3,2,2,5,3,3,4,5,5,4,5,3,5,"US",1
5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,5,1,5,5,1,5,1,5,1,5,"JP",1
4,2,3,4,4,3,4,3,4,3,4,3,3,4,4,2,3,3,2,3,3,3,4,3,5,1,1,"CA",2
5,5,5,3,5,5,5,5,5,4,5,3,4,5,5,3,2,2,5,5,5,2,5,3,5,3,5,"US",3
2,1,2,1,1,1,1,2,1,2,2,1,2,3,3,1,4,2,1,5,1,1,1,1,2,1,1,"US",3
4,4,4,4,4,5,4,3,5,2,4,4,2,5,4,4,3,4,4,3,5,2,4,3,2,2,3,"US",1
4,2,3,4,2,1,4,2,2,3,4,2,2,3,4,2,4,2,2,4,1,2,2,2,4,2,2,"GB",1
5,5,3,4,5,5,5,5,5,4,4,3,4,3,3,3,3,5,5,3,5,4,5,4,2,5,4,"GT",1
5,4,4,5,5,4,5,5,4,4,5,4,0,2,5,2,2,0,4,5,4,2,4,4,2,3,5,"GB",2
4,4,4,2,2,2,5,3,4,3,3,2,2,5,4,1,4,4,4,4,2,3,4,2,1,5,2,"IE",1
3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,3,3,2,3,4,2,5,4,3,4,3,"ID",3
5,3,1,1,4,3,1,5,5,5,3,3,1,3,1,3,1,5,3,1,3,4,3,5,1,5,1,"US",1
5,2,3,5,2,2,5,2,4,4,4,2,2,4,4,2,2,2,2,2,2,1,3,2,1,4,1,"GB",3
1,4,4,2,2,1,4,3,5,4,1,5,2,4,4,4,2,4,2,4,1,1,4,4,5,1,2,"US",3
3,2,4,4,2,4,4,2,5,4,4,2,4,4,4,2,1,3,2,3,2,1,4,2,5,5,2,"GB",3
4,5,5,2,4,5,5,4,4,3,3,3,2,3,3,1,2,5,4,1,3,5,2,4,2,5,3,"US",1
5,4,3,4,5,5,5,3,4,2,4,1,3,2,4,2,5,3,4,5,4,1,5,3,4,1,4,"GB",2
4,4,2,4,4,5,4,3,4,4,2,3,3,4,1,4,1,4,5,2,2,5,4,5,1,5,3,"GB",1
4,4,2,4,4,4,5,4,5,4,3,2,2,4,2,3,4,3,5,2,3,2,2,3,1,5,2,"AZ",1
5,4,3,2,4,4,5,3,4,3,5,2,2,1,4,1,1,2,4,2,2,2,4,2,3,2,2,"DE",1
3,4,1,2,3,1,4,2,4,5,2,4,2,1,3,1,2,3,4,2,4,4,4,2,2,1,2,"US",1
4,3,3,4,4,3,4,3,5,4,3,3,2,3,4,3,2,4,2,3,3,1,2,3,5,1,2,"US",1
5,4,4,2,4,5,5,3,4,4,3,4,3,4,5,5,2,4,4,3,2,4,4,4,2,1,4,"US",3
4,5,4,2,5,4,5,5,5,5,3,4,3,5,4,3,2,5,4,1,5,4,4,4,1,4,4,"US",1
5,2,5,5,5,1,5,3,5,3,2,2,3,5,4,2,2,4,4,3,2,5,5,1,5,3,2,"US",1
5,4,4,4,3,5,5,3,4,3,3,1,2,4,5,4,2,1,2,4,1,1,1,1,5,2,4,"NL",2
5,3,3,4,4,4,5,4,4,3,3,3,2,4,3,2,3,3,1,3,2,2,3,2,2,3,2,"GB",2
5,5,1,1,5,4,5,5,5,1,5,3,1,1,1,3,1,3,5,1,5,5,5,5,2,5,1,"US",3
4,4,4,4,4,4,4,4,4,3,2,4,4,4,2,2,2,4,4,3,3,4,4,4,4,4,4,"SG",2
5,1,4,5,4,4,5,2,4,3,2,4,3,4,2,4,3,4,1,4,2,1,2,2,5,1,2,"HK",3
4,5,3,3,5,4,4,2,5,3,4,2,4,3,4,4,1,4,5,2,4,1,5,4,2,1,1,"US",1
5,1,1,5,5,1,5,1,3,3,5,1,3,4,5,1,1,4,4,5,5,2,1,1,5,1,1,"US",3
4,1,1,2,1,2,4,1,2,2,4,2,2,2,4,1,4,1,3,3,1,2,3,2,4,3,1,"GB",2
3,2,1,4,1,1,4,2,3,1,3,4,4,1,5,1,1,2,4,3,1,4,4,2,4,4,1,"DE",1
5,1,3,4,1,4,4,2,4,5,4,4,2,3,3,4,1,3,3,3,2,1,1,3,5,3,1,"US",1
5,1,4,2,2,4,5,4,4,5,2,3,1,4,1,3,2,5,3,3,4,3,4,3,5,3,1,"US",2
1,1,4,4,1,1,1,2,1,3,2,2,1,4,4,4,3,1,1,5,1,1,4,1,5,1,1,"US",1
5,5,5,4,5,5,5,5,5,5,1,5,1,5,4,5,5,5,4,5,5,1,5,5,1,1,5,"US",1
5,5,5,4,1,4,5,5,5,5,2,5,5,5,1,5,1,5,4,2,5,1,5,5,3,5,5,"GB",3
4,4,4,4,4,5,4,3,4,4,2,4,3,4,3,3,2,3,3,3,2,3,4,3,5,2,4,"NZ",1
5,5,4,3,5,5,5,5,5,5,1,4,4,4,1,5,1,5,4,2,1,2,5,5,5,1,5,"US",3
5,4,5,4,4,4,5,4,5,4,2,4,3,4,3,3,2,4,3,2,4,2,2,3,4,3,4,"GB",3
3,1,3,3,2,4,4,1,1,1,2,2,2,2,3,1,5,2,1,4,2,4,4,2,1,3,2,"GB",3
5,4,4,5,5,5,5,5,5,3,3,3,3,5,3,4,3,3,3,3,2,2,4,4,4,2,4,"SE",1
4,3,4,4,4,4,4,4,5,3,3,4,4,4,1,4,2,5,3,4,2,1,2,3,5,4,1,"US",1
5,2,3,2,3,3,5,3,5,1,3,1,1,3,5,4,3,2,3,5,1,1,4,2,5,4,1,"EU",1
4,2,2,4,3,4,4,3,3,3,5,3,2,3,2,2,4,3,2,4,3,1,4,3,4,2,3,"US",3
5,4,4,2,5,5,5,4,4,5,3,5,5,5,5,5,1,5,3,5,4,4,5,5,1,5,4,"US",2
5,2,2,4,3,3,5,4,4,2,3,2,2,2,2,2,2,2,4,4,2,2,2,2,3,4,2,"DE",3
2,1,1,1,1,1,1,1,1,2,5,1,1,1,4,1,5,1,1,5,1,1,1,1,5,1,1,"US",3
3,4,3,4,3,2,4,3,4,4,3,3,3,3,4,2,4,3,3,4,3,2,2,3,3,2,3,"AU",1
4,3,5,1,5,5,4,4,4,4,4,2,1,5,4,1,2,4,4,2,4,4,5,5,2,3,4,"CA",1
5,5,3,5,4,5,5,5,5,5,3,5,5,4,1,4,5,4,4,5,3,3,5,4,2,5,5,"CA",3
4,1,2,2,2,3,3,1,4,4,4,1,2,3,2,2,4,4,2,4,1,3,4,2,5,1,2,"US",3
2,2,3,0,4,5,3,5,4,4,2,4,4,3,2,4,2,4,4,1,5,2,4,4,2,2,4,"US",3
4,2,2,2,1,1,4,2,2,3,4,2,2,2,5,4,4,3,2,4,1,1,1,2,5,1,1,"US",3
5,2,3,4,3,4,5,2,4,4,5,2,2,2,4,2,4,2,4,2,2,1,4,2,1,4,2,"US",1
4,3,2,2,1,3,5,2,4,4,5,2,4,1,4,3,2,2,2,3,1,1,3,2,2,1,1,"FR",1
3,1,2,2,1,2,4,2,3,3,4,3,2,4,4,3,2,4,2,3,1,3,2,2,5,2,2,"KR",1
4,4,4,4,5,5,5,4,5,2,2,1,2,2,4,2,2,5,3,5,5,5,5,3,3,1,4,"US",1
4,1,2,3,2,1,3,1,3,1,4,1,1,1,1,1,4,2,1,4,1,1,1,1,5,2,1,"IE",1
4,4,3,2,3,5,5,2,4,4,5,2,2,3,4,2,3,2,4,2,4,3,4,4,1,5,2,"US",1
5,4,4,4,5,4,5,4,5,4,4,3,4,5,1,4,1,4,4,1,3,2,4,4,1,5,5,"CA",3
5,4,4,3,5,5,5,4,5,5,3,5,4,5,4,3,4,5,2,3,3,4,5,3,5,3,3,"CR",1
4,2,2,3,3,3,4,3,3,3,4,2,1,4,4,2,3,2,3,4,2,2,4,1,4,3,2,"FI",3
4,4,4,4,4,4,5,2,4,2,3,3,2,2,2,2,2,4,4,4,4,2,4,4,2,3,4,"US",3
5,5,5,3,5,5,5,5,5,3,1,3,3,5,3,3,3,5,5,1,5,4,5,5,3,5,5,"ES",1
4,4,3,4,4,4,5,4,4,4,5,2,2,2,2,1,4,4,4,4,4,2,4,4,2,1,4,"ZA",3
4,5,5,4,3,3,4,5,5,2,1,5,5,5,1,3,4,3,3,3,3,3,5,3,4,3,4,"US",1
3,5,5,5,5,5,4,5,5,4,1,4,5,5,1,4,1,5,4,4,3,4,5,3,5,2,4,"CA",3
4,3,4,4,4,4,4,4,5,3,1,3,3,4,1,2,4,5,2,3,2,2,4,4,4,2,2,"US",3
3,1,1,4,1,1,4,2,2,3,3,1,1,4,2,2,4,1,1,2,1,1,4,1,5,2,1,"GB",1
4,4,4,4,5,4,5,5,5,2,5,1,1,5,5,3,5,3,2,3,4,2,5,4,5,1,1,"CA",1
5,5,4,5,5,5,5,3,5,3,3,2,2,4,4,4,2,4,4,3,2,3,4,5,5,3,4,"US",1
5,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,2,4,5,3,4,4,4,4,2,2,2,"GB",3
5,4,3,2,5,5,5,4,5,5,3,5,4,4,4,4,2,5,4,3,2,1,5,5,2,2,3,"CA",3
3,3,2,3,2,3,4,4,4,5,3,4,1,3,3,4,3,2,2,2,2,1,4,4,4,1,1,"US",1
5,5,5,2,4,5,5,5,5,5,1,5,2,5,1,5,1,5,3,1,2,4,5,5,2,5,5,"US",2
5,4,5,2,4,3,5,3,4,4,2,4,3,5,3,4,1,5,4,2,4,4,4,4,2,4,3,"US",2
5,4,5,5,5,4,5,4,5,4,1,3,4,4,5,3,2,5,2,3,2,3,4,2,5,3,2,"US",1
5,4,3,4,4,5,5,4,5,2,5,2,4,4,2,4,1,5,4,4,2,2,3,4,5,1,4,"GB",1
1,2,3,1,2,1,2,2,3,2,4,4,3,1,4,2,4,4,2,4,2,3,4,3,5,4,1,"IN",3
3,3,5,2,2,3,4,1,1,4,5,1,2,5,4,3,2,3,3,4,1,4,4,3,5,3,2,"US",1
5,3,5,5,4,4,5,3,4,4,1,5,3,5,3,4,1,4,4,4,2,3,5,2,2,4,2,"US",1
4,3,2,1,2,3,4,4,5,4,2,2,1,2,4,1,4,3,4,2,3,1,1,2,1,2,1,"US",1
4,4,4,4,3,4,4,2,2,2,5,1,3,5,4,3,4,4,4,2,2,2,4,2,4,3,2,"US",1
4,4,4,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,4,3,4,4,3,3,2,3,"CA",1
5,5,5,5,5,4,5,2,5,3,2,2,2,5,2,2,3,3,5,2,2,3,3,4,2,5,2,"CA",1
4,4,2,4,5,4,4,2,4,2,4,3,4,2,4,4,1,2,5,4,2,1,4,3,4,3,2,"AU",1
5,3,3,3,5,5,5,4,5,1,5,1,1,3,5,3,5,4,2,4,1,1,5,1,5,2,1,"US",1
4,5,5,4,5,5,4,5,5,5,1,5,5,5,1,5,1,5,5,2,2,3,5,5,5,5,5,"GB",1
5,4,5,5,5,4,5,5,5,3,5,3,4,3,4,2,1,4,4,5,4,2,5,5,5,5,5,"US",3
4,4,4,4,3,3,4,2,4,3,2,2,3,3,5,3,2,2,3,4,2,2,4,2,4,1,2,"NO",2
5,1,2,4,1,3,4,2,2,2,4,2,3,2,5,2,5,3,1,5,2,1,1,1,5,1,1,"US",1
3,3,5,4,3,3,3,3,4,4,5,3,2,4,5,4,4,4,4,2,3,4,4,4,5,4,3,"ES",3
4,1,3,4,3,3,4,3,2,3,3,2,2,3,5,2,4,3,2,4,2,1,1,3,4,3,1,"AU",3
3,2,1,2,2,2,3,2,4,3,4,1,3,1,4,4,3,4,3,4,2,2,3,2,2,1,1,"CA",1
5,4,5,4,4,5,5,3,5,4,4,4,4,4,3,2,4,3,4,3,4,4,4,4,5,5,4,"US",1
5,4,5,4,5,5,5,4,5,3,2,3,3,4,3,2,4,4,3,4,1,2,5,3,5,3,2,"US",3
5,5,3,4,5,5,5,2,5,4,3,5,5,3,4,5,1,5,4,2,4,1,5,4,5,3,5,"GB",1
2,1,1,1,1,1,1,1,2,3,3,1,1,1,4,1,2,2,2,4,1,2,3,1,1,1,1,"US",1
3,4,4,0,3,4,4,4,3,2,3,3,0,3,4,4,3,4,3,4,3,3,4,3,4,2,2,"CN",3
5,4,5,5,5,4,5,3,5,4,2,5,5,5,5,4,4,5,4,3,3,2,4,5,2,4,4,"US",1
5,4,4,4,5,4,5,2,5,3,5,2,2,2,4,1,4,5,4,5,4,1,1,3,5,1,2,"US",1
4,4,3,5,4,4,5,3,5,3,4,3,2,4,3,3,3,3,3,4,3,3,4,3,4,3,3,"LT",1
4,1,1,3,3,2,4,4,2,1,5,1,2,2,4,3,4,2,1,5,1,2,2,3,4,1,2,"FI",1
2,4,2,1,4,2,5,2,5,2,5,2,1,2,5,1,5,1,2,2,4,2,5,5,5,4,4,"GB",1
5,5,5,4,5,4,5,5,5,4,3,4,5,4,3,5,2,5,5,2,4,2,5,5,5,2,5,"PH",1
4,4,4,5,5,5,5,3,5,4,1,3,4,5,1,4,1,2,5,1,1,2,5,4,1,5,2,"GB",1
5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,2,1,5,5,5,1,5,5,"US",2
4,2,2,5,2,5,4,4,5,3,2,2,2,2,2,4,4,3,2,4,2,2,4,2,5,3,2,"GB",3
5,5,5,3,2,4,5,2,5,3,2,4,1,5,1,3,1,5,5,4,5,1,4,5,1,5,2,"US",3
4,4,2,4,4,4,5,4,4,2,5,2,3,3,5,2,4,4,2,4,4,2,4,2,2,2,2,"AU",3
4,3,2,4,4,4,4,4,5,1,5,1,2,2,4,2,4,1,1,4,2,2,4,2,1,2,2,"US",1
5,2,5,4,4,5,4,3,4,2,2,4,3,4,5,4,4,2,3,5,2,4,2,2,5,1,5,"US",1
5,5,4,4,5,5,5,5,5,1,5,1,2,4,2,1,1,5,5,5,3,2,5,2,1,1,5,"CA",3
3,1,1,1,1,1,3,1,1,3,5,1,1,2,4,3,5,1,1,5,1,1,2,1,5,1,1,"US",2
4,2,3,4,4,4,4,4,4,2,5,2,2,2,4,2,3,3,4,4,2,2,2,4,2,3,3,"GB",3
4,3,5,3,3,1,5,3,4,4,3,3,3,4,1,5,2,4,1,4,1,1,4,1,2,5,3,"US",2
4,4,5,5,4,2,5,5,5,3,3,2,3,5,4,2,4,5,1,2,3,2,4,2,4,3,4,"US",1
4,2,3,2,3,4,4,3,4,2,4,2,2,2,4,2,2,3,3,4,3,2,3,2,4,1,2,"US",1
4,4,3,3,4,4,3,2,4,2,3,2,2,3,3,2,4,3,2,4,2,1,4,2,3,2,2,"CA",3
4,4,3,2,3,3,2,3,3,4,4,3,4,2,4,4,3,3,4,5,3,2,4,3,4,4,2,"CA",1
4,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,2,3,3,4,3,1,4,2,5,1,3,"US",1
4,5,4,5,2,2,4,1,5,4,4,5,3,3,4,2,1,5,3,4,1,1,1,3,5,1,3,"US",1
5,5,5,4,5,5,5,4,5,4,2,5,4,5,3,4,1,5,4,1,2,5,5,5,1,1,5,"IE",1
4,4,5,5,3,4,4,0,5,4,3,3,4,5,1,2,4,3,2,2,1,1,4,2,2,2,4,"US",1
4,3,2,4,2,3,4,3,4,2,4,2,3,4,3,2,4,1,1,4,1,1,2,1,4,2,3,"JP",3
5,5,5,5,5,5,5,5,5,5,3,1,4,4,5,3,1,5,5,1,3,5,5,4,2,3,5,"CN",1
5,4,4,4,5,5,5,4,5,4,2,4,5,4,3,4,1,4,4,2,4,4,4,4,4,4,4,"US",1
4,2,2,4,1,2,4,2,4,4,5,1,1,4,5,2,3,4,1,5,1,1,3,2,5,1,2,"RO",2
5,5,4,1,3,5,5,3,4,3,5,1,1,3,4,2,5,4,2,4,2,2,5,4,5,1,3,"US",1
4,4,3,4,2,5,4,2,4,5,4,5,2,1,4,1,1,1,1,1,1,2,3,1,5,1,1,"US",1
5,5,5,3,5,3,4,5,5,4,2,4,4,4,1,3,2,4,5,2,3,2,4,5,1,4,5,"US",1
5,5,5,5,5,5,5,5,5,4,5,2,1,5,5,3,5,5,4,5,3,1,4,5,5,3,5,"US",2
4,4,4,2,3,3,5,4,4,2,3,4,4,3,4,3,3,4,5,3,3,4,5,2,2,2,3,"GB",1
5,1,2,3,2,5,4,2,5,4,3,1,3,3,4,3,1,5,5,4,2,1,3,4,2,3,2,"US",3
5,5,2,1,5,3,5,4,5,5,4,1,4,3,4,5,1,5,3,5,4,4,5,5,5,1,5,"GB",1
3,3,3,4,1,1,2,3,4,4,4,1,2,4,2,2,4,4,4,4,1,3,3,1,3,2,1,"AU",3
5,4,4,3,2,3,5,4,4,5,2,2,2,4,1,4,2,2,3,4,4,1,2,3,2,3,1,"US",3
4,4,2,1,5,1,3,4,5,4,3,2,5,5,1,4,2,5,5,1,5,5,5,4,1,4,5,"US",1
4,4,2,2,5,4,5,4,4,3,3,2,4,3,3,4,2,4,5,3,4,4,4,3,2,5,3,"US",2
5,4,5,4,4,5,5,5,5,4,3,3,3,5,3,4,3,5,5,4,5,2,5,4,5,5,4,"US",1
4,2,3,1,1,1,1,1,2,1,5,1,1,1,4,1,4,1,2,4,1,1,4,0,2,1,1,"CA",1
4,2,3,2,2,3,2,2,3,2,2,2,2,3,4,2,3,2,4,2,2,2,3,2,2,4,1,"US",3
4,3,4,4,4,4,5,4,4,2,4,2,3,4,2,2,3,4,2,4,4,2,4,3,5,2,4,"FI",3
2,3,4,2,1,1,2,2,3,2,3,1,3,3,2,1,3,3,2,4,1,1,3,1,5,1,1,"GB",3
3,5,4,4,5,3,4,5,5,1,2,1,2,4,3,4,2,4,5,2,3,4,3,2,1,5,4,"US",3
4,3,4,2,2,4,5,2,5,3,4,2,1,2,4,3,3,1,2,2,1,1,4,1,3,2,2,"GB",3
4,5,4,2,4,5,5,4,5,4,1,4,5,4,1,5,4,5,4,2,4,4,5,5,2,5,5,"US",1
4,3,4,4,2,2,5,1,4,4,4,2,3,4,4,2,3,3,2,5,1,1,3,1,4,1,2,"US",1
5,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,"GB",1
3,4,4,2,4,5,4,3,4,3,3,3,3,3,4,2,5,5,2,3,5,4,4,4,2,1,2,"ID",1
4,4,2,3,4,4,4,3,3,4,3,3,2,3,3,4,4,5,4,2,3,4,4,2,4,1,3,"US",3
5,5,5,5,5,5,5,5,5,4,4,3,3,4,1,4,1,2,2,5,1,2,2,3,5,1,5,"DE",3
4,2,1,5,1,1,3,1,4,1,5,1,1,2,5,2,5,1,1,2,1,1,1,1,4,1,1,"US",1
4,4,4,4,5,5,5,4,4,2,4,2,3,4,4,2,4,4,4,4,4,4,4,3,2,3,5,"GB",2
5,5,5,5,5,5,1,1,5,5,3,1,1,5,5,1,5,3,3,5,1,1,3,3,5,1,1,"CA",1
5,5,5,5,5,5,5,5,5,4,2,5,3,5,2,5,1,5,3,2,1,5,5,4,2,2,5,"GB",1
5,4,3,4,3,4,5,4,4,4,1,2,2,3,2,4,2,4,3,3,2,3,4,2,2,4,3,"PE",3
4,1,2,4,4,5,4,4,2,5,5,1,1,4,5,1,4,3,2,5,2,1,1,2,5,1,1,"AU",1
5,5,5,5,5,5,5,5,5,4,2,2,2,5,2,5,1,5,4,2,5,2,5,5,5,5,5,"IN",1
4,5,2,5,4,4,5,2,4,2,2,2,1,3,4,4,4,2,2,5,2,1,2,1,5,3,1,"US",1
4,4,5,3,5,4,5,4,4,3,3,3,3,4,3,3,3,4,3,3,5,3,2,4,3,3,5,"AU",1
5,1,2,2,3,3,5,1,4,4,3,3,2,2,4,4,3,4,2,2,1,4,5,2,2,1,2,"US",1
4,4,4,1,2,4,5,4,3,4,2,2,4,5,4,4,1,2,2,1,1,2,4,1,3,1,2,"GB",1
4,4,2,4,3,1,4,4,4,3,2,2,2,4,4,2,4,3,3,4,1,1,4,2,4,4,1,"SE",1
4,4,2,4,3,4,4,4,4,2,5,4,3,3,4,4,4,4,4,2,3,4,4,4,2,4,4,"US",2
4,3,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,2,2,4,3,2,3,2,4,2,3,"CA",1
3,2,1,1,1,1,2,1,3,1,5,1,1,1,5,3,1,3,3,5,1,1,1,1,1,1,3,"GB",3
5,4,2,3,5,5,5,4,5,3,4,5,1,2,4,1,2,3,4,4,1,1,5,2,5,5,1,"GB",1
4,4,2,2,4,4,4,3,4,5,1,3,4,4,1,5,1,4,4,3,2,5,4,2,3,2,3,"US",3
3,2,3,2,3,3,2,4,3,4,2,3,2,4,5,3,3,4,4,3,2,2,4,3,4,1,3,"GB",1
4,2,5,4,4,5,5,4,5,3,2,3,4,5,2,4,1,5,3,4,1,2,5,3,1,4,4,"US",3
3,3,5,3,3,4,3,3,3,5,1,3,3,5,3,4,3,3,2,3,4,2,4,3,2,2,3,"US",1
2,5,2,1,2,2,1,2,5,4,5,1,1,1,1,3,3,5,5,5,5,5,4,1,5,1,5,"AU",1
5,3,4,5,4,4,5,5,5,1,5,1,5,3,5,4,2,4,3,3,4,2,2,2,4,4,3,"GB",2
4,4,3,4,4,4,4,3,4,3,4,4,2,4,3,4,2,3,2,2,2,1,2,4,2,4,4,"NL",1
5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,4,1,4,5,1,5,4,5,5,5,5,5,"US",1
5,5,4,5,4,5,5,5,5,3,5,3,2,3,2,2,2,3,2,1,3,2,4,3,4,1,4,"CA",1
2,3,4,4,4,4,5,4,4,3,4,3,3,4,4,2,4,4,2,4,1,2,4,3,4,2,2,"US",1
5,5,2,5,4,5,5,5,5,3,4,1,5,1,5,3,3,4,5,5,4,5,1,5,3,3,5,"ID",1
4,3,2,2,4,4,4,2,5,4,2,3,4,4,2,4,1,5,4,3,2,3,4,4,2,5,4,"US",1
4,4,4,4,4,4,4,3,3,4,4,2,3,2,3,4,2,3,4,4,4,3,3,4,4,2,2,"CH",1
1,5,1,1,1,3,4,5,5,5,1,3,5,4,1,5,1,5,1,3,1,4,1,1,5,5,4,"AU",1
5,4,4,5,5,5,5,1,4,3,1,3,3,4,1,1,3,5,1,4,1,1,3,3,5,5,3,"BR",1
5,5,4,5,5,5,5,4,5,5,4,2,1,4,4,2,2,5,3,2,2,3,5,3,4,4,5,"US",1
4,2,2,4,2,2,4,4,2,4,4,2,2,2,2,2,4,2,2,4,1,2,2,2,2,1,2,"AU",3
5,4,4,5,5,5,5,5,5,4,2,5,4,3,1,2,3,5,1,1,5,2,5,5,5,1,5,"US",3
5,5,3,3,5,3,5,5,5,4,2,4,3,3,1,5,1,5,4,2,3,2,5,5,1,5,4,"US",3
5,5,5,5,4,5,5,5,5,5,1,4,5,5,1,1,1,5,1,1,2,1,1,4,1,5,5,"SE",3
5,4,5,5,5,5,5,5,5,4,1,5,5,5,1,5,1,4,5,1,5,1,5,3,1,5,4,"US",3
3,4,4,4,5,4,4,3,5,4,2,4,4,5,4,4,1,5,4,4,3,4,4,4,2,4,4,"AU",3
5,4,5,4,4,5,5,4,4,3,5,2,2,4,4,2,4,3,4,5,4,2,5,3,4,4,4,"CA",2
5,4,5,5,5,5,5,4,4,4,3,3,4,5,2,2,1,4,3,2,5,2,4,4,3,3,4,"US",2
5,4,2,3,4,4,5,2,5,4,3,2,2,4,3,2,3,4,3,4,2,2,4,4,4,4,2,"PL",1
3,4,2,4,2,2,4,2,4,5,5,2,1,4,5,4,2,2,1,4,3,2,4,2,4,1,2,"US",1
4,3,4,4,4,1,3,4,3,4,4,2,2,5,1,4,2,3,2,5,1,1,2,2,4,1,2,"US",1
1,4,3,4,4,3,5,2,4,3,3,3,3,3,2,3,2,2,2,2,2,2,4,4,5,4,3,"ID",3
5,0,5,4,5,4,5,2,4,4,1,4,0,4,2,3,2,5,4,3,2,1,4,4,5,4,4,"CA",2
5,3,5,5,3,5,5,5,4,5,4,4,3,5,3,4,2,5,4,3,5,3,3,4,3,5,5,"US",3
2,4,3,2,2,3,3,2,4,2,5,3,3,2,2,3,4,4,1,4,2,1,2,2,4,1,1,"US",2
4,5,4,4,4,5,5,4,4,1,3,4,1,4,4,1,5,3,5,5,2,3,4,2,1,1,4,"GB",3
5,3,3,5,3,1,5,1,3,3,2,1,1,4,2,1,5,1,1,5,1,1,4,1,4,1,1,"US",3
4,1,2,2,4,4,5,4,4,4,3,3,1,2,4,1,2,4,5,2,3,1,4,3,4,4,2,"NO",3
